('www.officedepot.com', 'height with stand')
('www.nexus-t.co.uk', 'product height without stand')
('www.itenergy.co.uk', 'height with stand')
('www.jrlinton.co.uk', 'height with stand')
('www.mediashopuk.com', 'height with stand')
('www.xpcpro.com', 'height with stand')
('www.softwarecity.ca', 'height with stand')
('www.pc-canada.com', 'height with stand')
('www.makingbuyingeasy.co.uk', 'height with stand')
('www.kingsfieldcomputers.co.uk', 'height with stand')
('www.ebay.com', 'height with stand')
('www.imldirect.it', 'height with stand')
('www.mrhightech.com', 'height with stand')
