('www.itenergy.co.uk', 'width with stand')
('www.kingsfieldcomputers.co.uk', 'width with stand')
('www.mediashopuk.com', 'width with stand')
('www.jrlinton.co.uk', 'width with stand')
('www.xpcpro.com', 'width with stand')
('www.softwarecity.ca', 'width with stand')
('www.pc-canada.com', 'width with stand')
('www.makingbuyingeasy.co.uk', 'width with stand')
('www.ebay.com', 'width with stand')
('www.nexus-t.co.uk', 'product width without stand')
('www.imldirect.it', 'width with stand')
('www.mrhightech.com', 'width with stand')
('www.officedepot.com', 'width with stand')
